company,regulator,metric,period,period_start,period_end,value,currency,unit,scale,basis,filing_identity,filing_title,filing_period,filed_at,url,api_exact_match,document_value_match,public_link_status,status
Apple Inc.,sec,eps,2023-annual,2022-09-25,2023-09-30,6.1600,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000320193-23-000106,Form 10-K (FY2023),2023-annual,2023-11-03,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,eps_diluted,2023-annual,2022-09-25,2023-09-30,6.1300,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000320193-23-000106,Form 10-K (FY2023),2023-annual,2023-11-03,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,net_income,2023-annual,2022-09-25,2023-09-30,96995000000.0000,USD,USD,1,entity_total_dimensionless_context,0000320193-23-000106,Form 10-K (FY2023),2023-annual,2023-11-03,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,operating_income,2023-annual,2022-09-25,2023-09-30,114301000000.0000,USD,USD,1,entity_total_dimensionless_context,0000320193-23-000106,Form 10-K (FY2023),2023-annual,2023-11-03,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,revenue,2023-annual,2022-09-25,2023-09-30,383285000000.0000,USD,USD,1,entity_total_dimensionless_context,0000320193-23-000106,Form 10-K (FY2023),2023-annual,2023-11-03,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,eps,2024-annual,2023-10-01,2024-09-28,6.1100,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000320193-24-000123,Form 10-K (FY2024),2024-annual,2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,eps_diluted,2024-annual,2023-10-01,2024-09-28,6.0800,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000320193-24-000123,Form 10-K (FY2024),2024-annual,2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,net_income,2024-annual,2023-10-01,2024-09-28,93736000000.0000,USD,USD,1,entity_total_dimensionless_context,0000320193-24-000123,Form 10-K (FY2024),2024-annual,2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,operating_income,2024-annual,2023-10-01,2024-09-28,123216000000.0000,USD,USD,1,entity_total_dimensionless_context,0000320193-24-000123,Form 10-K (FY2024),2024-annual,2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,revenue,2024-annual,2023-10-01,2024-09-28,391035000000.0000,USD,USD,1,entity_total_dimensionless_context,0000320193-24-000123,Form 10-K (FY2024),2024-annual,2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,eps,2025-annual,2024-09-29,2025-09-27,7.4900,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000320193-25-000079,Form 10-K (FY2025),2025-annual,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,eps_diluted,2025-annual,2024-09-29,2025-09-27,7.4600,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000320193-25-000079,Form 10-K (FY2025),2025-annual,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,net_income,2025-annual,2024-09-29,2025-09-27,112010000000.0000,USD,USD,1,entity_total_dimensionless_context,0000320193-25-000079,Form 10-K (FY2025),2025-annual,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,True,True,document_downloaded_http_200,candidate_source_supported
Apple Inc.,sec,operating_income,2025-annual,2024-09-29,2025-09-27,133050000000.0000,USD,USD,1,entity_total_dimensionless_context,0000320193-25-000079,Form 10-K (FY2025),2025-annual,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,True,True,document_downloaded_http_200,candidate_source_supported
